species,date,latitude,longitude
Pronghorn,22/10/2011,35.10530458,-119.6816254
Pronghorn,06/04/2012,35.2638337,-119.9343098
Pronghorn,09/12/2012,35.17368724,-119.9744611
Pronghorn,21/01/2013,35.32349413,-119.9989414
Pronghorn,27/02/2013,41.88048939,-121.8902636
Pronghorn,04/05/2013,39.489205,-120.094299
Pronghorn,13/05/2012,40.729827,-120.698976
Pronghorn,25/04/2008,35.248984,-119.918518
Pronghorn,21/03/2013,41.370258,-120.53691
Pronghorn,03/01/2007,35.722638,-120.576296
Pronghorn,14/09/2013,34.879981,-118.677417
Pronghorn,30/10/2013,34.87,-118.68
Pronghorn,12/02/2014,35.351541,-120.024133
Pronghorn,23/08/2014,35.338897,-120.011624
Pronghorn,08/06/2007,41.2098528,-121.1145148
Pronghorn,17/03/2015,34.80056667,-118.7290883
Pronghorn,08/05/2015,34.8626578,-118.787932
Pronghorn,08/05/2015,34.84419167,-118.6832417
Pronghorn,09/05/2015,34.857721,-118.66229
Pronghorn,08/05/2015,34.873803,-118.634866
Pronghorn,23/05/2015,34.778889,-118.755556
Pronghorn,22/12/2011,35.142087,-119.743004
Pronghorn,23/07/2015,34.95458342,-118.7437382
Pronghorn,23/07/2015,34.89258547,-118.7117786
Pronghorn,19/04/2009,35.07925,-119.644375
Pronghorn,11/08/2015,39.7429,-120.303898
Pronghorn,21/08/2015,34.857095,-118.658363
Pronghorn,22/08/2015,34.860846,-118.645693
Pronghorn,25/05/2015,39.80127261,-120.3584746
Pronghorn,19/02/2016,34.87106244,-118.744099
Pronghorn,23/02/2016,41.801493,-121.155785
Pronghorn,14/03/2016,34.84576242,-118.796619
Pronghorn,21/03/2016,35.117241,-119.770031
Pronghorn,05/04/2016,39.793996,-120.333552
Pronghorn,19/04/2016,34.72097192,-118.5238586
Pronghorn,13/05/2016,39.810382,-120.206265
Pronghorn,10/05/2016,35.35155,-120.0132139
Pronghorn,18/05/2016,39.75174509,-120.3057865
Pronghorn,28/05/2016,41.440168,-120.564394
Pronghorn,28/05/2016,40.846991,-120.430584
Pronghorn,06/06/2016,35.12749,-119.772606
Pronghorn,21/08/2015,34.95341341,-118.6087418
Pronghorn,17/03/2016,35.17368487,-119.8449069
Pronghorn,21/09/2016,41.8345627,-120.022261
Pronghorn,30/05/2016,35.1898639,-119.8632972
Pronghorn,22/12/2016,35.92434186,-120.2873604
Pronghorn,06/04/2013,35.26880657,-119.9391174
Pronghorn,06/04/2013,35.11818291,-119.7138977
Pronghorn,01/03/2017,35.30355285,-119.6903922
Pronghorn,14/06/2016,39.76302645,-120.2378082
Pronghorn,16/03/2017,34.876102,-118.890959
Pronghorn,16/03/2017,34.876102,-118.890959
Pronghorn,16/03/2017,34.876102,-118.890959
Pronghorn,03/09/2014,35.35111772,-120.0045944
Pronghorn,02/04/2017,35.25342983,-119.9315643
Pronghorn,31/03/2017,41.360411,-120.5674839
Pronghorn,31/03/2017,41.37971829,-120.5652845
Pronghorn,31/03/2017,41.5354943,-120.4611397
Pronghorn,08/04/2017,35.0168376,-119.9397437
Pronghorn,08/04/2017,37.05556111,-117.4276111
Pronghorn,29/04/2017,41.20250045,-121.0429001
Pronghorn,27/03/2017,35.09009872,-119.7001014
Pronghorn,30/03/2017,35.4367485,-120.0943375
Pronghorn,14/05/2017,41.45404927,-120.5519485
Pronghorn,23/05/2017,35.81537485,-120.3552561
Pronghorn,08/04/2017,35.18213427,-119.867599
Pronghorn,31/05/2017,41.56108475,-120.2930984
Pronghorn,17/06/2017,38.29465847,-119.1114741
Pronghorn,02/06/2017,41.47886,-120.54256
Pronghorn,12/06/2017,39.81305846,-120.3997991
Pronghorn,28/05/2017,40.70413141,-121.1708307
Pronghorn,13/06/2017,34.86273,-118.6547383
Pronghorn,01/06/2017,41.74304333,-120.3759767
Pronghorn,22/07/2017,41.87634,-120.034647
Pronghorn,29/07/2017,38.14967752,-119.1290474
Pronghorn,30/07/2017,40.68272087,-120.6621552
Pronghorn,08/07/2017,38.30072297,-119.1104007
Pronghorn,12/08/2017,40.66526167,-120.657895
Pronghorn,19/03/2010,35.32684986,-120.0054646
Pronghorn,08/10/2017,34.87755333,-118.6368717
Pronghorn,08/10/2017,34.877553,-118.636872
Pronghorn,12/05/2017,39.79026983,-120.3220085
Pronghorn,24/08/2017,35.74117167,-120.2775333
Pronghorn,10/01/2018,35.16113807,-119.8258209
Pronghorn,10/01/2018,35.18353992,-119.8477077
Pronghorn,19/01/2018,39.764047,-120.220949
Pronghorn,26/02/2015,39.79275948,-120.3227162
Pronghorn,20/01/2016,39.76978884,-120.2170372
Pronghorn,26/02/2015,39.76968986,-120.2163505
Pronghorn,29/06/2016,35.14987717,-119.8070068
