OID_,species,date,latitude,longitude
1,Tule Elk,12/8/2012 0:00:00,35.190504380000000,-119.890708900000007
2,Tule Elk,8/31/2014 0:00:00,35.146937000000001,-119.863878999999997
3,Tule Elk,5/13/2016 0:00:00,35.163986000000001,-119.822902999999997
4,Tule Elk,7/4/2016 0:00:00,35.184331000000000,-119.895172000000002
5,Tule Elk,12/2/2017 0:00:00,35.156968480000003,-119.860839799999994
6,Tule Elk,1/10/2018 0:00:00,35.166070140000002,-119.858093299999993
7,Tule Elk,1/10/2018 0:00:00,35.164501819999998,-119.860067400000005
8,Tule Elk,3/28/2017 0:00:00,35.183104950000001,-119.866637499999996
9,Tule Elk,4/5/2018 0:00:00,35.162782999999997,-119.823814999999996
10,Tule Elk,5/1/2018 0:00:00,35.199263330000001,-119.911151700000005
11,Tule Elk,11/24/2018 0:00:00,35.196623789999997,-119.866420800000000
12,Tule Elk,11/24/2018 0:00:00,35.184158119999999,-119.855656199999999
13,Tule Elk,4/30/2012 0:00:00,35.194333489999998,-119.863578599999997
14,Tule Elk,12/7/2018 0:00:00,35.184750000000001,-119.863578300000000
15,Tule Elk,12/30/2018 0:00:00,35.146090000000001,-119.781618100000003
16,Tule Elk,2/22/2019 0:00:00,35.117792000000001,-119.733392499999994
17,Tule Elk,12/30/2018 0:00:00,35.162643140000000,-119.790512800000002
18,Tule Elk,3/21/2019 0:00:00,35.164205780000003,-119.846913400000005
19,Tule Elk,3/27/2019 0:00:00,35.092690820000001,-119.708734899999996
20,Tule Elk,3/20/2019 0:00:00,35.166494409999999,-119.798530400000004
21,Tule Elk,5/27/2019 0:00:00,35.167616670000001,-119.830413300000004
22,Tule Elk,4/6/2019 0:00:00,35.196977300000000,-119.791782699999999
23,Tule Elk,7/13/2019 0:00:00,35.154389999999999,-119.809970000000007
24,Tule Elk,1/23/2020 0:00:00,35.184024070000000,-119.836582300000003
25,Tule Elk,2/10/2020 0:00:00,35.173727530000001,-119.854540200000002
26,Tule Elk,3/31/2020 0:00:00,35.095726710000001,-119.705559699999995
27,Tule Elk,11/22/2016 0:00:00,35.189864000000000,-119.863297000000003
28,Tule Elk,4/12/2020 0:00:00,35.150566670000003,-119.801929999999999
29,Tule Elk,4/15/2020 0:00:00,35.151191670000003,-119.802566700000000
30,Tule Elk,4/15/2020 0:00:00,35.151191670000003,-119.802566700000000
31,Tule Elk,8/14/2018 0:00:00,34.976529859999999,-119.455921300000000
32,Tule Elk,4/27/2020 0:00:00,35.152389509999999,-119.861937699999999
33,Tule Elk,3/1/2017 0:00:00,35.182583149999999,-119.841657600000005
34,Tule Elk,7/23/2020 0:00:00,35.182778949999999,-119.856258999999994
35,Tule Elk,7/8/2008 0:00:00,35.203833189999997,-119.766180899999995
36,Tule Elk,5/5/2018 0:00:00,35.163210409999998,-119.820316199999994
37,Tule Elk,5/2/2020 0:00:00,35.174270000000000,-119.844908300000000
38,Tule Elk,5/2/2020 0:00:00,35.170166670000000,-119.822450000000003
39,Tule Elk,3/13/2021 0:00:00,35.148180500000002,-119.796311700000004
40,Tule Elk,3/22/2021 0:00:00,35.170903150000001,-119.833031800000001
41,Tule Elk,5/19/2015 0:00:00,35.206444699999999,-119.911132899999998
42,Tule Elk,5/5/2018 0:00:00,35.087868350000001,-119.674057500000004
43,Tule Elk,11/2/2016 0:00:00,35.154522219999997,-119.822541700000002
44,Tule Elk,5/15/2021 0:00:00,35.121371070000002,-119.874745300000001
45,Tule Elk,2/13/2022 0:00:00,35.165803269999998,-119.808464900000004
46,Tule Elk,2/12/2022 0:00:00,35.156702940000002,-119.829732500000006
47,Tule Elk,2/12/2022 0:00:00,35.187995010000002,-119.868414799999996
48,Tule Elk,3/13/2022 0:00:00,35.152266670000003,-119.804811700000002
49,Tule Elk,3/15/2022 0:00:00,35.160821669999997,-119.820869999999999
50,Tule Elk,3/15/2022 0:00:00,35.181842070000002,-119.837393800000001
51,Tule Elk,3/11/2022 0:00:00,35.179520040000000,-119.856102500000006
52,Tule Elk,3/17/2022 0:00:00,35.153141669999997,-119.807246699999993
53,Tule Elk,3/25/2022 0:00:00,35.153288830000001,-119.807403300000004
54,Tule Elk,3/21/2022 0:00:00,35.164991970000003,-119.814677900000007
55,Tule Elk,3/25/2022 0:00:00,35.176616670000001,-119.844852799999998
56,Tule Elk,3/25/2022 0:00:00,35.162269440000003,-119.823277800000000
57,Tule Elk,4/1/2022 0:00:00,35.179361620000002,-119.842809000000003
58,Tule Elk,4/8/2022 0:00:00,35.189863899999999,-119.863297200000005
59,Tule Elk,4/10/2022 0:00:00,35.185685919999997,-119.854498899999996
60,Tule Elk,4/11/2022 0:00:00,35.196001440000003,-119.854757199999995
61,Tule Elk,4/12/2022 0:00:00,35.154484519999997,-119.811603599999998
62,Tule Elk,5/25/2022 0:00:00,35.174997370000000,-119.834487699999997
63,Tule Elk,5/28/2022 0:00:00,35.148066669999999,-119.795945000000003
64,Tule Elk,6/30/2022 0:00:00,35.188720040000000,-119.856148500000003
65,Tule Elk,6/2/2022 0:00:00,35.217955560000000,-119.897216700000001
66,Tule Elk,9/20/2022 0:00:00,35.161182889999999,-119.831228999999993
67,Tule Elk,11/14/2022 0:00:00,35.002933329999998,-119.516395000000003
68,Tule Elk,11/14/2022 0:00:00,35.147277830000000,-119.779944999999998
