species ,date,latitude,longitude
Tule Elk,16/09/2007,38.22367096,-122.9785538
Tule Elk,23/01/2010,38.0454216,-122.9721451
Tule Elk,13/11/2010,38.17997742,-122.9492035
Tule Elk,06/08/2006,38.14171242,-122.9346085
Tule Elk,16/03/2008,38.20163187,-122.9624176
Tule Elk,13/08/2011,39.44838926,-122.9637909
Tule Elk,15/01/2012,39.00157669,-122.5590134
Tule Elk,27/10/2008,37.03131451,-118.236585
Tule Elk,19/05/2012,38.18255574,-122.9532545
Tule Elk,09/06/2007,38.07337259,-122.8965073
Tule Elk,29/07/2012,38.23113488,-122.986536
Tule Elk,22/04/2012,38.19864293,-122.9594881
Tule Elk,08/09/2012,38.22180083,-122.9765019
Tule Elk,30/09/2012,38.1835,-122.954
Tule Elk,11/06/2011,37.34676139,-121.5797255
Tule Elk,23/09/2012,38.04645878,-122.9718666
Tule Elk,26/10/2012,37.2326913,-120.8384093
Tule Elk,10/11/2012,38.02969243,-122.9140681
Tule Elk,22/11/2012,37.191416,-120.824289
Tule Elk,08/12/2012,35.19050438,-119.8907089
Tule Elk,04/01/2013,38.19689746,-122.9636192
Tule Elk,27/07/2009,38.19124843,-122.9567179
Tule Elk,31/10/2010,38.02893096,-122.8298048
Tule Elk,20/09/2010,35.3328075,-119.3639231
Tule Elk,01/07/2011,35.3328075,-119.3639231
Tule Elk,28/03/2013,38.02688466,-122.9871368
Tule Elk,13/11/2011,38.045421,-122.974047
Tule Elk,27/09/2007,38.134894,-121.985278
Tule Elk,07/08/2004,38.188179,-122.953144
Tule Elk,18/07/2012,38.146047,-122.940637
Tule Elk,06/07/2013,38.235028,-122.987877
Tule Elk,13/04/2013,38.148058,-122.938986
Tule Elk,22/04/2012,39.44948,-122.96529
Tule Elk,01/09/2013,39.440255,-122.937777
Tule Elk,02/09/2013,38.013873,-122.974892
Tule Elk,07/12/2013,39.333558,-123.087146
Tule Elk,01/01/2014,38.197864,-122.96258
Tule Elk,17/02/2014,38.21416667,-122.9751667
Tule Elk,16/02/2014,37.180646,-120.800256
Tule Elk,17/02/2014,37.179236,-120.800087
Tule Elk,16/02/2014,37.178783,-120.800257
Tule Elk,02/03/2014,38.039457,-122.964965
Tule Elk,15/02/2014,37.633456,-121.494402
Tule Elk,25/04/2013,38.198809,-122.961066
Tule Elk,16/03/2014,38.2225,-122.9775
Tule Elk,27/03/2014,38.035682,-122.963623
Tule Elk,23/12/2013,38.19805833,-122.9623333
Tule Elk,27/04/2014,38.045171,-122.96598
Tule Elk,03/05/2014,38.0484,-122.9738617
Tule Elk,15/08/2014,38.048455,-122.878999
Tule Elk,31/08/2014,35.146937,-119.863879
Tule Elk,19/11/2010,38.214446,-122.976151
Tule Elk,09/09/2014,35.70002247,-121.204957
Tule Elk,13/09/2014,38.073324,-121.889277
Tule Elk,11/10/2014,38.023637,-122.976685
Tule Elk,19/05/2014,39.3463133,-123.1167757
Tule Elk,02/11/2014,38.222173,-122.975756
Tule Elk,10/11/2014,38.212545,-122.973297
Tule Elk,10/11/2014,38.120732,-122.918386
Tule Elk,30/11/2014,35.312736,-119.360294
Tule Elk,12/12/2014,38.03505,-122.9617083
Tule Elk,17/12/2014,37.232691,-120.838409
Tule Elk,03/01/2015,38.021335,-122.867056
Tule Elk,07/01/2015,38.005471,-122.996364
Tule Elk,25/01/2015,38.117066,-121.952705
Tule Elk,24/01/2015,38.049131,-122.870763
Tule Elk,25/01/2015,38.034917,-122.963238
Tule Elk,11/01/2015,38.041449,-122.969305
Tule Elk,19/02/2015,38.120454,-121.938232
Tule Elk,19/02/2015,38.120454,-121.938232
Tule Elk,30/12/2013,38.031646,-122.87604
Tule Elk,26/06/2007,38.046814,-122.852002
Tule Elk,10/09/2012,38.049139,-122.970915
Tule Elk,01/03/2015,38.120454,-121.938232
Tule Elk,07/03/2015,38.206525,-122.9668667
Tule Elk,22/03/2015,38.195747,-122.95073
Tule Elk,19/05/2012,38.035564,-122.978554
Tule Elk,31/03/2015,38.166,-122.937
Tule Elk,10/04/2015,38.120454,-121.938232
Tule Elk,23/06/2011,38.19971,-122.962525
Tule Elk,07/05/2015,38.034917,-122.971478
